ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,0.25,3.0,189.471,0.213
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,2.5,3.0,157.52,0.064
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,,409.523,0.453
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,5.0,124.934,0.048
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,162.675,0.119
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,154.375,0.072
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,160.902,0.07
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,165.879,0.074
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,169.422,0.051
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,162.092,0.065
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,1.8107928849972788,834.01,0.856
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,1.8107928849972788,124.618,0.03
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,1.8107928849972788,8973.734,0.832
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,1.8107928849972788,111.634,0.051
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,4.189207115002722,622.999,0.643
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,4.189207115002722,106.201,0.066
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,4.189207115002722,184.984,0.149
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,4.189207115002722,84.319,0.059
ESM,Micromixer,20.0,0.0,0.0,0.0,MQ,1.375,3.0,4813.381,1.0
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,1.375,3.0,86.863,0.089
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,0.25,3.0,180.646,0.132
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,2.5,3.0,146.835,0.029
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,,298.881,0.558
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,5.0,137.567,0.034
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,182.155,0.099
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,176.58,0.101
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,127.517,0.042
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,179.011,0.141
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,167.896,0.114
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,177.175,0.16
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,1.8107928849972788,,0.74
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,1.8107928849972788,125.356,0.071
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,1.8107928849972788,5257.868,1.0
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,1.8107928849972788,118.454,0.08
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,4.189207115002722,623.865,0.569
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,4.189207115002722,107.586,0.059
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,4.189207115002722,198.087,0.236
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,4.189207115002722,86.184,0.061
ESM,Micromixer,20.0,0.0,0.0,0.0,MQ,1.375,3.0,3062.225,0.973
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,1.375,3.0,85.607,0.066
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,0.25,3.0,190.929,0.271
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,2.5,3.0,147.238,0.042
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,,543.031,0.573
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,5.0,130.699,0.037
