ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
10.0,0.0,10.0,0.0,1.375,1.0,MQ,YES,110.4,0.043
10.0,0.0,10.0,0.0,2.5,1.0,MQ,YES,105.3,0.063
12.0,0.0,8.0,0.0,1.375,3.5002575415843395,MQ,YES,98.5,0.054
12.0,0.0,8.0,0.0,2.5,3.467368504525317,MQ,YES,85.85,0.066
12.0,0.0,8.0,0.0,1.375,1.0,MQ,YES,129.1,0.029
12.0,0.0,8.0,0.0,2.5,1.0,MQ,YES,129.3,0.045
0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,125.56,0.263
0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,87.316,0.168
0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,95.927,0.219
0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,67.343,0.242
0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,129.236,0.334
0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,68.868,0.23
0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,149.89,0.421
0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.973,0.241
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.278,0.231
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.541,0.212
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.848,0.228
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.339,0.229
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.537,0.223
0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,141.851,0.334
0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,100.593,0.152
0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,103.514,0.306
0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,66.039,0.243
0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,148.899,0.356
0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,66.672,0.27
0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,158.663,0.4
0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.545,0.261
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,81.475,0.248
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,83.866,0.251
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,85.223,0.262
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.004,0.233
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,83.696,0.257
0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,136.684,0.307
0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,107.924,0.174
0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,102.589,0.262
0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,63.026,0.246
0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,131.852,0.295
0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,65.3,0.272
0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,157.64,0.409
0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,75.772,0.254
