ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,PDI,SIZE
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.286,73.733
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.288,76.425
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.295,72.4625
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.326,78.159
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.327,73.901
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.335,81.85
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.354,76.205
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,0.312,81.069
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,0.361,92.98
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,0.38,94.633
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,0.285,74.457
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,0.291,77.533
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,0.334,73.083
0.0,10.972990928305936,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,0.236,138.8
0.0,10.972990928305936,1.5466218368449105,5.754981254919678,2.5,2.5,PBS,0.267,112.4
0.0,11.25,0.0,3.75,0.25,3.0,PBS,0.558,351.504
0.0,11.25,0.0,3.75,1.0,3.0,MQ,0.403,124.403
0.0,11.25,0.0,3.75,1.0,50.0,MQ,0.597,141.591
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,0.294,111.287
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,0.327,87.575
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,0.402,130.717
0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,0.354,102.022
0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,0.372,104.721
0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,0.476,109.953
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,0.221,77.048
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,0.262,93.195
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,0.343,86.444
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,0.268,79.661
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,0.355,94.499
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,0.376,93.161
0.0,11.756775994613504,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,0.206,147.8
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,0.269,86.352
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,0.284,96.016
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,0.333,85.58
0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,0.262,97.7
0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,0.275,93.8
0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,0.296,98.8
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,0.235,81.3
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,0.248,92.9
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,0.424,95.0
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,0.242,98.3
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,0.245,94.2
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,0.257,95.1
0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,0.223,92.7
0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,0.244,89.3
0.0,17.429434417810032,6.878606146819108,12.8,2.5,6.0,PBS,0.292,108.6
0.0,20.91532130137204,5.15895461011433,12.8,2.5,4.0,PBS,0.336,130.2
0.0,20.91532130137204,5.15895461011433,12.8,2.5,4.0,PBS,0.343,126.0
0.0,20.91532130137204,5.15895461011433,12.8,2.5,4.0,PBS,0.345,132.2
0.0,20.91532130137204,5.15895461011433,12.8,2.5,8.0,PBS,0.337,125.2
0.0,20.91532130137204,5.15895461011433,12.8,2.5,8.0,PBS,0.351,122.1
0.0,20.91532130137204,5.15895461011433,12.8,2.5,8.0,PBS,0.365,131.3
2.437034408632514,0.0,1.0310812245632734,1.918327084973226,1.0,5.0,PBS,0.2503544979707,85.1839766108858
2.437034408632514,0.0,1.0310812245632734,1.918327084973226,2.5,2.5,PBS,0.187131611317078,124.961785350713
