ML,HSPC,ESM,PEG,AQUEOUS,SIZE,PDI,CHOL,FRR,CHIP,TFR
1,0.0,15.0,0.0,0,137.567,0.034,5.0,5.0,0,1.375
1,0.0,15.0,0.0,0,182.155,0.099,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,176.58,0.101,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,127.517,0.042,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,179.011,0.141,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,167.896,0.114,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,177.175,0.16,5.0,3.0,0,1.375
1,0.0,17.973017787506805,0.0,0,,0.74,2.0269822124931967,1.8107928849972788,0,0.7060709978109694
1,0.0,12.026982212493198,0.0,0,125.356,0.071,7.973017787506802,1.8107928849972788,0,0.7060709978109694
1,0.0,17.973017787506805,0.0,0,5257.868,1.0,2.0269822124931967,1.8107928849972788,0,2.0439290021890306
1,0.0,12.026982212493198,0.0,0,118.454,0.08,7.973017787506802,1.8107928849972788,0,2.0439290021890306
1,0.0,17.973017787506805,0.0,0,623.865,0.569,2.0269822124931967,4.189207115002722,0,0.7060709978109694
1,0.0,12.026982212493198,0.0,0,107.586,0.059,7.973017787506802,4.189207115002722,0,0.7060709978109694
1,0.0,17.973017787506805,0.0,0,198.087,0.236,2.0269822124931967,4.189207115002722,0,2.0439290021890306
1,0.0,12.026982212493198,0.0,0,86.184,0.061,7.973017787506802,4.189207115002722,0,2.0439290021890306
1,0.0,20.0,0.0,0,3062.225,0.973,0.0,3.0,0,1.375
1,0.0,10.0,0.0,0,85.607,0.066,10.0,3.0,0,1.375
1,0.0,15.0,0.0,0,190.929,0.271,5.0,3.0,0,0.25
1,0.0,15.0,0.0,0,147.238,0.042,5.0,3.0,0,2.5
1,0.0,15.0,0.0,0,543.031,0.573,5.0,,0,1.375
1,0.0,15.0,0.0,0,130.699,0.037,5.0,5.0,0,1.375
1,0.0,15.0,0.0,0,196.919,0.179,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,168.994,0.087,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,181.41,0.143,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,163.213,0.091,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,175.564,0.162,5.0,3.0,0,1.375
1,0.0,15.0,0.0,0,162.168,0.086,5.0,3.0,0,1.375
1,0.0,10.0,0.0,0,84.04,0.09,10.0,3.5002575415843395,0,1.375
1,0.0,10.0,0.0,0,84.46,0.067,10.0,3.5002575415843395,0,2.5
1,0.0,10.0,0.0,0,110.4,0.043,10.0,1.0,0,1.375
1,0.0,10.0,0.0,0,105.3,0.063,10.0,1.0,0,2.5
1,0.0,12.0,0.0,0,98.5,0.054,8.0,3.5002575415843395,0,1.375
1,0.0,12.0,0.0,0,85.85,0.066,8.0,3.467368504525317,0,2.5
1,0.0,12.0,0.0,0,129.1,0.029,8.0,1.0,0,1.375
1,0.0,12.0,0.0,0,129.3,0.045,8.0,1.0,0,2.5
0,9.576,0.0,3.192,0,125.56,0.263,3.192,1.6,0,0.58
0,9.576,0.0,3.192,0,87.316,0.168,3.192,1.6,0,2.17
0,9.576,0.0,3.192,0,95.927,0.219,3.192,4.4,0,0.58
0,9.576,0.0,3.192,0,67.343,0.242,3.192,4.4,0,2.17
0,9.576,0.0,3.192,0,129.236,0.334,3.192,3.0,0,0.25
0,9.576,0.0,3.192,0,68.868,0.23,3.192,3.0,0,2.5
0,9.576,0.0,3.192,0,149.89,0.421,3.192,1.0,0,1.375
0,9.576,0.0,3.192,0,76.973,0.241,3.192,4.4,0,1.375
0,9.576,0.0,3.192,0,80.278,0.231,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,80.541,0.212,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,77.848,0.228,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,77.339,0.229,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,78.537,0.223,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,141.851,0.334,3.192,1.6,0,0.58
0,9.576,0.0,3.192,0,100.593,0.152,3.192,1.6,0,2.17
0,9.576,0.0,3.192,0,103.514,0.306,3.192,4.4,0,0.58
0,9.576,0.0,3.192,0,66.039,0.243,3.192,4.4,0,2.17
0,9.576,0.0,3.192,0,148.899,0.356,3.192,3.0,0,0.25
0,9.576,0.0,3.192,0,66.672,0.27,3.192,3.0,0,2.5
0,9.576,0.0,3.192,0,158.663,0.4,3.192,1.0,0,1.375
0,9.576,0.0,3.192,0,76.545,0.261,3.192,4.4,0,1.375
0,9.576,0.0,3.192,0,81.475,0.248,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,83.866,0.251,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,85.223,0.262,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,80.004,0.233,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,83.696,0.257,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,136.684,0.307,3.192,1.6,0,0.58
0,9.576,0.0,3.192,0,107.924,0.174,3.192,1.6,0,2.17
0,9.576,0.0,3.192,0,102.589,0.262,3.192,4.4,0,0.58
0,9.576,0.0,3.192,0,63.026,0.246,3.192,4.4,0,2.17
0,9.576,0.0,3.192,0,131.852,0.295,3.192,3.0,0,0.25
0,9.576,0.0,3.192,0,65.3,0.272,3.192,3.0,0,2.5
0,9.576,0.0,3.192,0,157.64,0.409,3.192,1.0,0,1.375
0,9.576,0.0,3.192,0,75.772,0.254,3.192,4.4,0,1.375
0,9.576,0.0,3.192,0,80.386,0.256,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,76.14,0.247,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,78.939,0.251,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,155.532,0.297,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,75.29,0.214,3.192,3.0,0,1.375
0,9.576,0.0,3.192,0,91.341,0.2,3.192,1.727,0,2.17
0,9.576,0.0,3.192,0,96.467,0.2,3.192,1.727,0,2.17
0,9.576,0.0,3.192,0,83.115,0.203,3.192,1.727,0,2.17
1,0.0,24.779,0.0,0,230.059,0.349,10.121,1.6,0,0.58
1,0.0,24.779,0.0,0,298.002,0.263,10.121,1.6,0,2.17
1,0.0,24.779,0.0,0,157.882,0.088,10.121,4.4,0,0.58
1,0.0,24.779,0.0,0,125.303,0.065,10.121,4.4,0,2.17
1,0.0,24.779,0.0,0,183.962,0.16,10.121,3.0,0,0.25
1,0.0,24.779,0.0,0,155.385,0.054,10.121,3.0,0,2.5
1,0.0,24.779,0.0,0,232.108,0.322,10.121,1.0,0,1.375
1,0.0,24.779,0.0,0,125.924,0.058,10.121,5.0,0,1.375
1,0.0,24.779,0.0,0,169.717,0.119,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,164.343,0.091,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,162.206,0.121,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,160.342,0.095,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,158.912,0.087,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,189.764,0.195,10.121,1.6,0,0.58
1,0.0,24.779,0.0,0,229.416,0.244,10.121,1.6,0,2.17
1,0.0,24.779,0.0,0,140.386,0.047,10.121,4.4,0,0.58
1,0.0,24.779,0.0,0,117.314,0.046,10.121,4.4,0,2.17
1,0.0,24.779,0.0,0,167.216,0.071,10.121,3.0,0,0.25
1,0.0,24.779,0.0,0,137.968,0.05,10.121,3.0,0,2.5
1,0.0,24.779,0.0,0,240.863,0.252,10.121,1.0,0,1.375
1,0.0,24.779,0.0,0,115.891,0.07,10.121,5.0,0,1.375
1,0.0,24.779,0.0,0,139.586,0.08,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,141.538,0.064,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,139.883,0.062,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,139.657,0.065,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,146.755,0.081,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,220.699,0.271,10.121,1.6,0,0.58
1,0.0,24.779,0.0,0,303.927,0.274,10.121,1.6,0,2.17
1,0.0,24.779,0.0,0,159.526,0.071,10.121,4.4,0,0.58
1,0.0,24.779,0.0,0,125.978,0.027,10.121,4.4,0,2.17
1,0.0,24.779,0.0,0,191.239,0.132,10.121,3.0,0,0.25
1,0.0,24.779,0.0,0,158.28,0.059,10.121,3.0,0,2.5
1,0.0,24.779,0.0,0,236.083,0.26,10.121,1.0,0,1.375
1,0.0,24.779,0.0,0,130.988,0.044,10.121,5.0,0,1.375
1,0.0,24.779,0.0,0,160.969,0.082,10.121,3.0,0,1.375
