6.11: FRR -> CHOL, CHOL -> AQUEOUS | similarity_score: 0.0782 | LL: -640.57 | AIC: 1319.14 | BIC: 1389.70
6.12: FRR -> AQUEOUS, CHOL -> AQUEOUS | similarity_score: 0.8104 | LL: -650.45 | AIC: 1342.91 | BIC: 1420.90
6.13: FRR -> CHOL, FRR -> AQUEOUS, CHOL -> AQUEOUS | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
6.14: CHOL -> AQUEOUS, CHOL -> FRR | similarity_score: 0.7071 | LL: -640.57 | AIC: 1319.14 | BIC: 1389.70
6.15: CHOL -> AQUEOUS, AQUEOUS -> FRR | similarity_score: 0.5452 | LL: -653.36 | AIC: 1332.71 | BIC: 1380.99
6.16: CHOL -> AQUEOUS, CHOL -> FRR, AQUEOUS -> FRR | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
6.17: CHOL -> FRR, FRR -> AQUEOUS | similarity_score: 0.7831 | LL: -644.12 | AIC: 1322.24 | BIC: 1385.37
6.18: CHOL -> FRR, CHOL -> AQUEOUS, FRR -> AQUEOUS | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
7.1: AQUEOUS -> FRR, AQUEOUS -> PEG | similarity_score: 0.5922 | LL: -557.23 | AIC: 1140.46 | BIC: 1188.74
7.2: AQUEOUS -> FRR, FRR -> PEG | similarity_score: 0.6644 | LL: -614.90 | AIC: 1263.79 | BIC: 1326.93
7.3: AQUEOUS -> PEG, FRR -> PEG | similarity_score: 0.6070 | LL: -545.31 | AIC: 1144.61 | BIC: 1244.88
7.4: AQUEOUS -> FRR, AQUEOUS -> PEG, FRR -> PEG | similarity_score: 1.0000 | LL: -541.08 | AIC: 1140.16 | BIC: 1247.86
7.5: AQUEOUS -> PEG, PEG -> FRR | similarity_score: 0.0676 | LL: -546.55 | AIC: 1131.10 | BIC: 1201.66
7.6: AQUEOUS -> FRR, PEG -> FRR | similarity_score: 0.7143 | LL: -613.65 | AIC: 1277.31 | BIC: 1370.15
7.7: AQUEOUS -> PEG, AQUEOUS -> FRR, PEG -> FRR | similarity_score: 1.0000 | LL: -541.08 | AIC: 1140.16 | BIC: 1247.86
7.8: FRR -> AQUEOUS, FRR -> PEG | similarity_score: 0.6644 | LL: -614.90 | AIC: 1263.79 | BIC: 1326.93
7.9: FRR -> AQUEOUS, AQUEOUS -> PEG | similarity_score: 0.5922 | LL: -557.23 | AIC: 1140.46 | BIC: 1188.74
